datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 21:02:58,57.937,5,1,2.0630000000000024,5.8774097099347085,-0.05,0.0
20230914 21:03:03,58.0,5,1,2.0630000000000024,5.658693194429313,-0.037399999999999524,0.0
20230914 21:03:10,58.062,5,1,1.9380000000000024,5.4087426137293955,-0.03719999999999857,0.0
20230914 21:03:15,58.187,5,1,1.9380000000000024,5.204914450905905,-0.03719999999999857,0.0
20230914 21:03:21,58.25,5,1,1.8130000000000024,5.002738384247547,-0.049799999999999046,0.0
20230914 21:03:26,58.375,5,1,1.75,4.846537406338918,-0.05,0.0
20230914 21:03:31,58.437,5,1,1.625,4.644215348607834,-0.06260000000000049,0.0
20230914 21:03:36,58.5,5,1,1.5630000000000024,4.456772759014941,-0.05,0.0
20230914 21:03:41,58.625,5,1,1.5,4.238102673621808,-0.05,0.0
20230914 21:03:46,58.687,5,1,1.375,4.019419980311037,-0.05,0.0
20230914 21:03:52,58.75,5,1,1.25,3.769528637053083,-0.05020000000000096,0.0
20230914 21:03:59,58.812,5,1,1.1880000000000024,3.5345154051994085,-0.05,0.0
20230914 21:04:04,58.875,5,1,1.1880000000000024,3.347108137842225,-0.037399999999999524,0.0
20230914 21:04:09,58.937,5,1,1.125,3.1597131790583974,-0.037399999999999524,0.0
20230914 21:04:14,59.0,5,1,1.0630000000000024,2.9870436973001913,-0.037399999999999524,0.0
20230914 21:04:19,59.0,5,1,1.0,2.862137527637542,-0.03760000000000048,0.0
20230914 21:04:24,59.25,5,1,1.0,2.7522433520838083,-0.025,0.0
20230914 21:04:30,59.312,5,1,0.6880000000000024,2.5025174658207576,-0.025,0.0
20230914 21:04:35,59.375,5,1,0.6880000000000024,2.2840067667845907,-0.024799999999999045,0.0
20230914 21:04:42,59.5,5,1,0.5,2.0212897751128454,-0.049799999999999046,0.0
20230914 21:04:47,59.625,5,1,0.5,1.7897810230258084,-0.062399999999999525,0.0
20230914 21:04:52,59.75,5,1,0.375,1.512995308740094,-0.07500000000000001,0.0
20230914 21:04:57,59.812,5,1,0.25,1.3153270194494122,-0.07500000000000001,0.0
20230914 21:05:03,59.875,5,1,0.125,1.036578857954258,-0.06260000000000049,0.0
20230914 21:05:08,59.937,5,1,0.125,0.8332767635275639,-0.05020000000000095,0.0
20230914 21:05:13,60.0,5,1,0.06300000000000239,0.6006662434330013,-0.03760000000000048,0.0
20230914 21:05:19,60.062,2.4416862438538507,0.4883372487707701,-0.06199999999999761,0.34645195771871684,-0.037399999999999524,0.0
