date,Open,High,Low,Close,Volume
2024-04-15 10:12:00,140.48,140.54,140.415,140.458,2451.0
2024-04-15 10:13:00,140.485,140.59,140.485,140.57,2151.0
2024-04-15 10:14:00,140.57,140.645,140.495,140.495,1385.0
2024-04-15 10:15:00,140.525,140.7,140.525,140.655,3435.0
2024-04-15 10:16:00,140.75,140.81,140.68,140.81,2153.0
2024-04-15 10:17:00,140.81,140.81,140.63,140.655,1094.0
2024-04-15 10:18:00,140.655,140.655,140.5,140.55,3425.0
2024-04-15 10:19:00,140.58,140.655,140.58,140.655,1068.0
2024-04-15 10:20:00,140.66,140.66,140.51,140.56,1654.0
2024-04-15 10:21:00,140.49,140.53,140.465,140.495,2420.0
2024-04-15 10:22:00,140.59,140.65,140.57,140.605,2724.0
2024-04-15 10:23:00,140.71,140.82,140.71,140.785,1417.0
2024-04-15 10:24:00,140.785,140.98,140.785,140.95,2995.0
2024-04-15 10:25:00,140.95,140.95,140.755,140.77,3158.0
2024-04-15 10:26:00,140.82,140.97,140.82,140.97,1721.0
2024-04-15 10:27:00,140.97,140.97,140.88,140.9,1056.0
2024-04-15 10:28:00,140.89,140.89,140.81,140.87,1695.0
2024-04-15 10:29:00,140.82,140.885,140.81,140.88,1554.0
2024-04-15 10:30:00,140.72,140.766,140.67,140.766,1058.0
2024-04-15 10:31:00,140.79,140.9,140.71,140.85,4125.0
2024-04-15 10:32:00,140.81,140.81,140.74,140.74,211.0
2024-04-15 10:33:00,140.81,140.845,140.765,140.765,1740.0
2024-04-15 10:34:00,140.76,140.87,140.76,140.83,1940.0
2024-04-15 10:35:00,140.83,140.87,140.72,140.76,3028.0
2024-04-15 10:36:00,140.75,140.92,140.74,140.92,1740.0
2024-04-15 10:37:00,140.895,141.07,140.48,140.59,14747.0
2024-04-15 10:38:00,140.58,140.61,140.53,140.57,1029.0
2024-04-15 10:39:00,140.565,140.57,140.51,140.54,2178.0
2024-04-15 10:40:00,140.57,140.64,140.51,140.61,3636.0
2024-04-15 10:41:00,140.59,140.59,140.59,140.59,332.0
2024-04-15 10:42:00,140.605,140.605,140.605,140.605,180.0
