datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:40:15,57.75,5,1,7.25,0,0,0.0
20230910 06:40:21,57.812,5,1,7.188000000000002,0,0,0.0
20230910 06:40:26,57.875,5,1,7.188000000000002,0,0,0.0
20230910 06:40:32,58.0,5,1,7.125,0,0,0.0
20230910 06:40:37,58.062,5,1,7.0,0,0,0.0
20230910 06:40:43,58.062,5,1,6.938000000000002,0,0,0.0
20230910 06:40:49,58.187,5,1,6.813000000000002,0,0,0.0
20230910 06:40:54,58.25,5,1,6.813000000000002,0,0,0.0
20230910 06:41:00,58.312,5,1,6.75,0,0,0.0
20230910 06:41:05,58.375,5,1,6.688000000000002,0,0,0.0
20230910 06:41:10,58.437,5,1,6.625,0,0,0.0
20230910 06:41:15,58.5,5,1,6.563000000000002,0,0,0.0
20230910 06:41:21,58.5,5,1,6.5,3.25,0.0,0.0
20230910 06:41:26,58.625,5,1,6.5,6.5,0.0,0.0
20230910 06:41:32,58.625,5,1,6.375,9.719053398058252,-0.025,0.0
20230910 06:41:37,58.75,5,1,6.375,12.906553398058252,-0.025,0.0
20230910 06:41:43,58.812,5,1,6.25,16.063112803998848,-0.05,0.0
20230910 06:41:48,58.875,5,1,6.188000000000002,15.922690067224446,-0.037399999999999524,0.0
20230910 06:41:53,58.937,5,1,6.125,15.751020652784424,-0.05,0.0
20230910 06:41:58,59.0,5,1,6.063000000000002,15.579046102773432,-0.037399999999999524,0.0
20230910 06:42:03,59.062,5,1,6.0,15.40737835843123,-0.03760000000000048,0.0
20230910 06:42:08,59.125,5,1,5.938000000000002,15.23539945173674,-0.037399999999999524,0.0
20230910 06:42:14,59.125,5,1,5.875,15.06332218851114,-0.025,0.0
20230910 06:42:19,59.187,5,1,5.875,14.922491602951162,-0.012399999999999523,0.0
20230910 06:42:25,59.25,5,1,5.813000000000002,14.797494975985353,-0.012399999999999523,0.0
20230910 06:42:31,59.375,5,1,5.625,14.625756126920963,-0.037399999999999524,0.0
20230910 06:42:36,59.437,5,1,5.625,14.485269034268264,-0.062399999999999525,0.0
20230910 06:42:42,59.5,5,1,5.563000000000002,14.344854929870696,-0.062399999999999525,0.0
20230910 06:42:47,59.562,5,1,5.5,14.173194620732128,-0.05,0.0
20230910 06:42:52,59.625,5,1,5.438000000000002,13.985700258491416,-0.037399999999999524,0.0
20230910 06:42:58,59.687,5,1,5.313000000000002,13.813696765820167,-0.037399999999999524,0.0
20230910 06:43:03,59.75,5,1,5.313000000000002,13.641693273148913,-0.03719999999999857,0.0
